WKT,id,left,top,right,bottom,MS頻度データ,AD頻度データ,大元1,大元2,大元3,大元4,大元5,MS_年頻度(31年分) N=389,MS重みづけ,AD_年頻度(4年分) N=23049,AD重みづけ,大元の頻度(1957-1967),平均頻度
"MULTIPOLYGON (((139.012449953739 36.5002768251205,139.102281482151 36.5002768251205,139.102281482151 36.4280317292609,139.012449953739 36.4280317292609,139.012449953739 36.5002768251205)))",60816,15474795.14,4369678.846,15484795.14,4359678.846,1,5,1,2,5,10,0,0.032258065,0.000535386,1.25,1.229253776,1,0.743263054
"MULTIPOLYGON (((139.192113010563 36.3557193410116,139.281944538975 36.3557193410116,139.281944538975 36.2833397129848,139.192113010563 36.2833397129848,139.192113010563 36.3557193410116)))",61496,15494795.14,4349678.846,15504795.14,4339678.846,1,5,1,2,5,10,0,0.032258065,0.000535386,1.25,1.229253776,1,0.743263054
"MULTIPOLYGON (((139.281944538975 36.4280317292609,139.371776067387 36.4280317292609,139.371776067387 36.3557193410116,139.281944538975 36.3557193410116,139.281944538975 36.4280317292609)))",61834,15504795.14,4359678.846,15514795.14,4349678.846,0,5,1,2,5,10,0,0,0,1.25,1.229253776,1,0.743084592
"MULTIPOLYGON (((138.832786896916 36.4280317292609,138.922618425327 36.4280317292609,138.922618425327 36.3557193410116,138.832786896916 36.3557193410116,138.832786896916 36.4280317292609)))",60139,15454795.14,4359678.846,15464795.14,4349678.846,4,7,1,2,5,0,0,0.129032258,0.002141546,1.75,1.720955286,0.5,0.741032277
"MULTIPOLYGON (((138.922618425327 36.3557193410116,139.012449953739 36.3557193410116,139.012449953739 36.2833397129848,138.922618425327 36.2833397129848,138.922618425327 36.3557193410116)))",60479,15464795.14,4349678.846,15474795.14,4339678.846,2,7,1,2,5,0,0,0.064516129,0.001070773,1.75,1.720955286,0.5,0.740675353
"MULTIPOLYGON (((139.461607595799 36.2833397129848,139.551439124211 36.2833397129848,139.551439124211 36.2108928982705,139.461607595799 36.2108928982705,139.461607595799 36.2833397129848)))",62514,15524795.14,4339678.846,15534795.14,4329678.846,1,7,1,2,5,0,0,0.032258065,0.000535386,1.75,1.720955286,0.5,0.740496891
"MULTIPOLYGON (((139.551439124211 36.2833397129848,139.641270652623 36.2833397129848,139.641270652623 36.2108928982705,139.551439124211 36.2108928982705,139.551439124211 36.2833397129848)))",62853,15534795.14,4339678.846,15544795.14,4329678.846,1,7,1,2,5,0,0,0.032258065,0.000535386,1.75,1.720955286,0.5,0.740496891
"MULTIPOLYGON (((139.731102181035 36.2833397129848,139.820933709447 36.2833397129848,139.820933709447 36.2108928982705,139.731102181035 36.2108928982705,139.731102181035 36.2833397129848)))",63531,15554795.14,4339678.846,15564795.14,4329678.846,1,7,1,2,5,0,0,0.032258065,0.000535386,1.75,1.720955286,0.5,0.740496891
"MULTIPOLYGON (((139.102281482151 36.2108928982705,139.192113010563 36.2108928982705,139.192113010563 36.1383789504378,139.102281482151 36.1383789504378,139.102281482151 36.2108928982705)))",61159,15484795.14,4329678.846,15494795.14,4319678.846,0,7,1,2,5,0,0,0,0,1.75,1.720955286,0.5,0.740318429
"MULTIPOLYGON (((139.820933709447 36.5724545764554,139.910765237859 36.5724545764554,139.910765237859 36.5002768251205,139.820933709447 36.5002768251205,139.820933709447 36.5724545764554)))",63866,15564795.14,4379678.846,15574795.14,4369678.846,0,7,1,2,5,0,0,0,0,1.75,1.720955286,0.5,0.740318429
